,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,cost of living index,house_age
2595,4.0,2.5,2930,18199,2.0,0,1,3,2930,0,0.9981,14
569,3.0,1.0,1160,10384,1.0,0,1,4,1160,0,0.9994,51
2472,3.0,2.5,2280,2289,2.0,0,1,3,1880,400,0.9987,14
2843,3.0,1.75,1300,62290,1.0,0,1,3,1300,0,0.9987,11
2219,4.0,2.25,2170,10500,1.0,0,3,4,1270,900,1.0006,19
1361,4.0,2.5,2650,7945,2.0,0,1,3,2650,0,1.0,14
4343,3.0,2.75,2170,7900,1.0,0,1,4,1380,790,1.0013,20
4169,4.0,1.75,2550,8976,1.0,0,1,5,1300,1250,1.0006,42
59,3.0,2.25,1920,4833,1.0,0,1,4,1060,860,1.0,99
381,3.0,2.5,3290,6830,2.0,0,1,3,3290,0,0.9974,20
2470,3.0,3.5,2490,3582,2.0,0,1,3,1720,770,0.9987,15
1552,4.0,3.75,3280,11000,2.0,0,1,3,2320,960,0.9981,12
3497,3.0,1.75,2140,9484,1.0,0,1,3,1290,850,0.9981,67
2256,3.0,2.25,2280,5750,1.0,0,2,4,1150,1130,1.0,35
4228,4.0,2.0,2330,6250,1.0,0,1,4,1400,930,1.0006,22
1870,4.0,1.5,1370,9957,1.0,0,1,3,900,470,0.9987,18
3682,2.0,2.0,1030,21712,1.0,0,1,4,1030,0,1.0026,82
3531,4.0,2.5,4080,18362,2.0,0,3,4,4080,0,0.9981,37
4163,4.0,2.5,3200,22651,1.0,0,1,5,1610,1590,1.0006,50
3207,6.0,2.75,2630,9420,2.0,0,1,5,2510,120,1.0,120
671,3.0,2.25,1680,57063,2.0,0,1,4,1680,0,0.9987,31
2246,3.0,1.5,1790,8203,1.5,0,2,3,1790,0,1.0,14
1246,4.0,2.5,2040,8400,1.0,0,1,3,1420,620,0.9981,12
1476,5.0,2.5,2340,13713,1.0,0,1,2,1670,670,1.0013,53
400,3.0,2.0,2570,28500,1.0,0,1,3,1970,600,0.9974,11
3203,2.0,1.5,1200,1687,3.0,0,1,3,1200,0,1.0,12
1551,3.0,1.5,2020,11358,1.0,0,1,4,1190,830,0.9981,64
3196,4.0,3.0,3330,4000,1.0,0,1,3,1790,1540,1.0,16
3982,4.0,2.25,2940,48788,1.0,0,1,5,1520,1420,0.9994,59
4203,2.0,2.25,3170,3000,2.0,0,3,5,1990,1180,1.0,120
4547,4.0,3.25,4430,21000,2.0,0,1,3,4430,0,0.9987,13
2437,4.0,4.5,3870,35889,2.0,0,1,3,2530,1340,0.9987,19
3491,5.0,4.5,4400,15580,2.0,0,1,3,3390,1010,0.9981,17
3791,3.0,3.0,2270,5175,2.0,0,1,3,2130,140,1.0006,18
359,3.0,1.75,1730,8400,1.0,0,1,4,1400,330,0.9974,40
4508,5.0,2.25,2000,7900,1.0,0,1,4,1300,700,1.0013,34
2995,3.0,2.25,2760,10160,1.0,0,1,3,2760,0,1.0,10
918,3.0,2.0,1240,11172,1.0,0,1,3,1000,240,0.9981,36
1666,3.0,2.25,1630,2520,2.0,0,1,3,1630,0,0.9981,15
234,4.0,1.5,1120,5427,1.0,0,1,3,1120,0,1.0,6
1324,4.0,2.5,2530,7563,1.0,0,1,3,1440,1090,0.9987,42
894,4.0,2.5,2490,12929,2.0,0,1,3,2490,0,0.9981,11
3832,3.0,2.75,2670,3738,1.0,0,1,3,1720,950,1.0006,97
3260,5.0,2.5,3990,3839,1.0,0,1,4,1990,2000,1.0,58
2978,4.0,2.5,2640,8625,2.0,0,1,3,2640,0,1.0,20
2186,3.0,1.0,1840,8100,1.0,0,1,4,920,920,1.0006,37
844,4.0,2.5,3030,7864,2.0,0,1,3,3030,0,0.9981,21
3911,3.0,2.5,1730,3600,2.0,0,1,3,1730,0,1.0006,6
4441,2.0,1.0,900,3400,1.0,0,1,5,900,0,1.0,115
1423,3.0,2.5,1601,2491,3.0,0,1,3,1536,65,1.0,13
3093,2.0,1.0,820,681,3.0,0,1,3,820,0,1.0,14
2313,3.0,2.0,2260,11305,1.0,0,1,3,1130,1130,1.0006,34
548,3.0,1.75,2320,10900,2.0,0,1,3,2320,0,1.0,46
32,4.0,3.25,2780,7875,2.0,0,1,3,2780,0,1.0,14
3156,3.0,2.5,1210,1420,3.0,0,1,3,1210,0,1.0,12
588,4.0,2.5,2910,7631,2.0,0,3,3,2910,0,0.9994,14
318,5.0,2.75,2830,5310,2.0,0,1,3,2830,0,0.9974,14
533,2.0,1.5,1190,3400,1.0,0,1,3,990,200,1.0,19
2353,4.0,2.0,1630,10375,1.0,0,1,5,1630,0,0.9987,52
1556,4.0,2.75,3160,8097,2.0,0,1,3,3160,0,0.9981,6
2162,2.0,1.5,1130,746,2.0,0,1,3,1030,100,1.0,11
2018,3.0,1.75,2190,8000,1.0,0,1,4,2190,0,1.0013,53
1160,4.0,2.0,1790,14690,1.0,0,2,4,1670,120,1.0006,19
3481,4.0,2.25,2290,10687,2.0,0,1,3,2290,0,0.9981,42
2326,2.0,1.0,1060,7700,1.0,0,1,3,820,240,1.0006,7
282,3.0,2.5,3870,46609,2.0,0,4,3,3870,0,0.9981,23
2916,3.0,2.5,2650,40705,2.0,0,1,3,2650,0,0.9987,26
2244,4.0,3.25,4700,9160,1.0,0,5,3,2520,2180,1.0,15
1152,4.0,2.75,2440,15349,2.0,0,2,4,2440,0,1.0006,19
4323,4.0,1.75,1360,4840,1.5,0,1,4,1360,0,1.0,92
2280,4.0,2.0,2530,5650,1.5,0,1,4,1910,620,1.0,110
3423,4.0,3.0,4590,9150,2.0,0,1,3,3490,1100,0.9994,7
3047,3.0,2.25,1530,1245,2.0,0,1,3,1050,480,1.0,6
3805,6.0,3.0,1880,7200,1.0,0,1,4,1880,0,1.0006,54
243,4.0,1.0,2070,7519,1.0,0,1,3,1160,910,0.9981,12
97,2.0,1.75,1230,3600,1.5,0,1,5,1230,0,1.0,95
1170,3.0,1.0,1060,7473,1.0,0,1,3,1060,0,1.0006,31
1334,3.0,1.0,1270,8400,1.0,0,1,3,1270,0,0.9987,15
3166,5.0,3.5,2320,4960,2.0,0,1,5,1720,600,1.0,94
3834,2.0,1.5,1480,7276,1.0,0,1,4,940,540,1.0006,20
2548,4.0,2.5,2520,7253,2.0,0,1,3,2520,0,1.0,11
893,4.0,3.25,3450,6184,2.0,0,1,3,3450,0,0.9981,6
148,3.0,2.5,3240,108366,2.0,0,1,4,3240,0,1.0,29
1711,4.0,3.5,3370,3634,2.0,0,1,3,2750,620,0.9981,13
1650,3.0,2.0,1540,1827,2.0,0,1,3,1540,0,0.9981,15
3902,4.0,3.5,3810,9792,2.0,0,1,3,3810,0,1.0006,7
4201,4.0,4.25,4960,6000,2.5,0,1,3,3680,1280,1.0,17
3184,5.0,2.5,2200,4080,1.5,0,1,5,1420,780,1.0,104
3876,4.0,1.75,2290,10290,1.0,0,1,3,1340,950,1.0006,8
3755,4.0,1.75,1300,21000,1.0,0,1,4,1300,0,1.0006,51
2404,4.0,2.5,3120,14300,2.0,0,1,3,3120,0,0.9987,17
3159,3.0,1.5,1290,1286,3.0,0,1,3,1290,0,1.0,20
1018,3.0,1.5,1120,6900,1.0,0,1,5,1120,0,0.9974,64
1189,2.0,1.0,930,36478,1.0,0,3,3,930,0,0.9981,26
4009,3.0,2.5,1920,9180,2.0,0,1,3,1920,0,1.0006,20
4007,3.0,1.5,1460,9908,1.0,0,1,3,1460,0,1.0006,12
3608,3.0,1.75,1290,3870,1.0,0,1,5,1290,0,1.0,104
3441,4.0,2.5,1830,7345,1.0,0,1,4,1540,290,0.9994,47
3240,2.0,1.0,1150,4400,1.0,0,1,4,1150,0,1.0,115
1118,3.0,2.5,2860,43821,2.0,0,1,4,2860,0,1.0006,30
3976,3.0,1.5,1590,8911,1.0,0,1,3,1590,0,0.9994,19
2772,4.0,3.0,3680,5854,1.0,0,4,3,2060,1620,1.0,9
659,3.0,2.5,2320,36847,2.0,0,3,3,2320,0,0.9987,28
926,4.0,2.5,2720,10006,2.0,0,1,3,2720,0,0.9981,31
3298,4.0,2.5,2120,10202,1.0,0,1,4,1620,500,0.9981,19
2181,3.0,1.0,910,5250,1.0,0,1,4,910,0,1.0006,49
2675,4.0,2.5,2800,246114,2.0,0,1,3,2800,0,0.9987,21
2298,2.0,2.5,2410,102366,1.0,0,1,4,1940,470,0.9987,31
2656,3.0,2.75,3010,1842,2.0,0,1,3,3010,0,0.9981,9
153,3.0,2.5,1850,4597,2.0,0,1,3,1850,0,1.0,17
1314,4.0,2.5,2730,12261,2.0,0,1,3,2730,0,0.9987,29
3061,2.0,1.0,650,5400,1.0,0,1,3,650,0,1.0,15
895,4.0,2.5,2790,7938,2.0,0,1,3,2790,0,0.9981,23
1886,3.0,2.5,2780,11964,2.0,0,1,3,2780,0,0.9987,11
2932,3.0,2.0,1400,7384,1.0,0,1,3,1150,250,1.0,6
101,6.0,2.0,2150,4505,1.0,0,1,3,1270,880,1.0,12
908,3.0,2.5,1790,8144,2.0,0,1,3,1790,0,0.9981,31
2928,3.0,2.5,1940,4927,2.0,0,1,3,1940,0,1.0,17
1345,4.0,2.5,2590,8483,2.0,0,1,3,2590,0,0.9987,29
2934,4.0,1.0,1980,7991,1.5,0,1,3,1980,0,1.0,17
2942,3.0,1.5,1060,9039,1.0,0,1,3,1060,0,1.0,7
972,4.0,1.0,1910,16320,1.5,0,1,3,1910,0,1.0,42
552,4.0,2.5,2800,5900,1.0,0,1,3,1660,1140,1.0,12
3728,3.0,1.0,1390,16000,1.0,0,1,4,1390,0,1.0006,19
1211,3.0,2.5,2770,9136,2.0,0,1,3,2770,0,0.9981,29
1380,4.0,1.75,1670,9886,1.0,0,1,5,1670,0,1.0,73
1934,4.0,2.5,1850,5444,2.0,0,1,5,1850,0,0.9987,39
3964,4.0,2.5,1750,4779,2.0,0,1,3,1750,0,0.9994,11
3466,5.0,2.75,3650,20150,1.0,0,1,4,2360,1290,0.9981,45
2387,4.0,4.25,4420,5750,2.0,0,1,3,3410,1010,0.9987,14
951,2.0,1.0,870,6150,1.0,0,1,3,870,0,1.0,26
35,3.0,1.75,1980,8100,1.0,0,1,4,1310,670,1.0,35
2819,4.0,2.0,2580,6000,1.0,0,1,5,1300,1280,1.0,70
1488,3.0,2.0,1610,4160,1.0,0,1,4,1010,600,1.0,103
1966,3.0,1.0,1810,12375,2.0,0,1,3,1810,0,0.9981,6
3753,3.0,1.0,1150,19200,1.0,0,1,4,1150,0,1.0006,112
4016,6.0,5.0,3440,4500,2.0,0,1,3,3280,160,1.0006,13
1215,3.0,1.75,2580,11000,1.0,0,1,4,1290,1290,0.9981,21
2927,3.0,1.0,990,8012,1.0,0,1,4,990,0,1.0,54
1005,4.0,2.5,2330,14289,2.0,0,1,4,2330,0,0.9974,20
4493,3.0,1.75,1590,11914,1.0,0,3,3,1090,500,1.0013,20
2642,4.0,2.75,3190,10970,2.0,0,1,3,3190,0,0.9981,26
4354,4.0,1.75,2440,7350,1.0,0,1,3,1610,830,1.0013,42
2831,4.0,2.25,2250,41688,2.0,0,1,3,2250,0,0.9987,40
1899,3.0,2.0,2420,17859,1.0,0,2,5,1500,920,0.9987,41
3939,3.0,2.5,2240,10800,2.0,0,1,3,2240,0,0.9994,24
3060,2.0,1.5,1300,1676,1.0,0,3,3,1300,0,1.0,18
921,4.0,2.5,2400,6137,2.0,0,1,3,2400,0,0.9981,11
2340,4.0,3.25,3740,12080,1.0,0,1,3,2000,1740,0.9987,20
2572,4.0,2.75,3510,9400,2.0,0,1,3,3510,0,1.0,6
2658,3.0,2.0,1640,9972,1.0,0,1,4,1640,0,0.9981,43
2765,2.0,1.0,840,3522,1.0,0,1,3,840,0,1.0,8
3997,3.0,1.75,1770,8235,1.0,0,1,3,1030,740,1.0006,8
4129,4.0,2.5,2150,6807,2.0,0,1,4,2150,0,1.0006,29
3752,4.0,2.5,2610,4781,2.0,0,1,3,2610,0,1.0006,11
3759,4.0,2.5,1930,8660,1.0,0,1,3,1120,810,1.0006,7
2884,2.0,2.5,2770,7781,2.0,0,1,3,2770,0,0.9987,14
3269,5.0,2.25,4200,5800,2.5,0,1,4,2910,1290,1.0,30
2684,3.0,3.0,3910,19023,2.0,0,1,3,3910,0,0.9987,35
1971,4.0,2.5,2550,6256,2.0,0,1,3,2550,0,0.9981,28
617,4.0,2.5,2510,6853,2.0,0,3,3,2510,0,0.9994,14
4174,4.0,2.5,3002,6042,2.0,0,1,3,3002,0,1.0006,17
1578,4.0,2.5,2700,9320,2.0,0,1,4,2700,0,0.9981,26
4223,3.0,1.5,1250,7500,1.0,0,1,3,1250,0,1.0006,9
1310,3.0,1.5,1760,4000,2.0,0,1,3,1760,0,1.0,12
1810,1.0,1.0,720,5100,1.0,0,1,3,720,0,1.0,37
554,3.0,2.5,2300,3060,1.5,0,1,3,1510,790,1.0,18
1063,4.0,3.5,4220,196817,2.0,0,1,3,4220,0,1.0006,27
3216,4.0,1.75,2100,4750,1.0,0,1,3,1340,760,1.0,45
1973,3.0,2.25,1800,43647,1.0,0,1,4,1800,0,0.9981,28
3488,3.0,1.5,1660,8797,1.0,0,1,4,1660,0,0.9981,64
1858,3.0,2.25,1770,8165,2.0,0,1,3,1770,0,0.9987,16
903,3.0,1.75,1300,12731,1.0,0,1,3,1300,0,0.9981,7
3408,4.0,3.5,3380,8330,2.0,0,1,3,3380,0,0.9994,20
1566,4.0,3.25,3440,35021,2.0,0,1,3,3440,0,0.9981,11
2369,4.0,4.5,6640,53330,2.0,0,1,3,6640,0,0.9987,27
3077,7.0,2.5,2580,5750,1.0,0,1,4,1880,700,1.0,119
2693,3.0,2.5,2720,6439,2.0,0,1,3,2720,0,0.9981,15
478,2.0,1.0,910,6490,1.0,0,1,3,910,0,1.0,21
2037,4.0,2.5,3090,18645,2.0,0,1,3,3090,0,1.0013,25
4022,5.0,4.0,4510,15175,2.0,0,1,3,4510,0,0.9994,18
100,2.0,1.0,910,3600,1.0,0,1,4,910,0,1.0,31
2065,3.0,1.5,1180,7000,1.0,0,1,4,1180,0,1.0013,43
1627,3.0,2.5,2670,10481,2.0,0,1,3,2670,0,0.9981,17
3394,5.0,2.75,2130,6222,1.0,0,1,3,1300,830,1.0,29
4518,4.0,2.75,1990,7252,1.0,0,1,3,1270,720,1.0013,21
3842,7.0,3.0,2800,9569,1.0,0,3,3,1400,1400,1.0006,12
4071,4.0,3.5,2970,14486,2.0,0,1,3,2340,630,0.9994,23
2521,4.0,2.25,2030,13500,1.0,0,1,3,1230,800,1.0,12
3020,4.0,2.5,2160,5298,2.5,0,1,4,2160,0,1.0,118
1068,3.0,1.75,1300,7958,1.0,0,1,3,1300,0,1.0006,24
1690,3.0,2.5,2140,3821,2.0,0,1,3,2140,0,0.9981,15
2080,3.0,1.5,1330,7600,1.0,0,1,4,1330,0,1.0013,52
34,3.0,2.5,1620,7410,1.0,0,1,5,1620,0,1.0,65
2066,4.0,1.75,1740,9344,1.0,0,1,3,1180,560,1.0013,42
2860,2.0,2.0,1540,54450,2.0,0,1,3,1540,0,0.9987,11
1881,3.0,1.0,900,7500,1.0,0,1,4,900,0,0.9987,48
494,3.0,1.5,1020,9072,1.0,0,1,3,920,100,1.0,23
3182,3.0,2.25,1240,949,3.0,0,1,3,1240,0,1.0,12
2100,4.0,2.5,1980,7403,2.0,0,1,3,1980,0,1.0013,20
1353,3.0,1.0,1030,6127,1.0,0,1,3,880,150,1.0,8
4105,4.0,2.25,2420,10200,2.0,0,1,4,2420,0,0.9994,47
2,4.0,1.75,1970,9389,1.0,0,1,5,1140,830,1.0,60
3205,5.0,3.0,2870,5700,1.0,0,1,3,1950,920,1.0,20
1922,3.0,1.75,1560,7207,1.0,0,1,3,1250,310,0.9987,11
3403,1.0,1.0,850,8050,1.0,0,1,2,850,0,1.0,114
2993,3.0,1.0,1580,7424,1.0,0,1,3,1010,570,1.0,17
37,2.0,1.0,1060,8187,1.0,0,1,4,1060,0,1.0,68
564,3.0,2.25,2200,16921,2.0,0,1,3,2200,0,0.9994,20
511,4.0,1.75,1870,5200,2.0,0,1,4,1200,670,1.0,83
1539,2.0,1.0,940,9839,1.0,0,1,3,940,0,1.0,14
2299,4.0,2.0,1480,8625,1.0,0,1,4,1480,0,1.0006,46
2164,3.0,2.0,1960,13100,1.0,0,3,5,1650,310,1.0006,63
48,2.0,1.0,740,5995,1.0,0,1,4,740,0,1.0,35
3550,3.0,2.5,2370,12753,2.0,0,1,3,2370,0,0.9987,19
4316,3.0,2.5,1700,9100,1.0,0,1,3,1160,540,1.0,14
1575,3.0,1.0,2110,10005,1.0,0,1,5,1110,1000,0.9981,64
2598,4.0,2.5,2560,36601,2.0,0,1,4,2560,0,0.9981,33
1818,4.0,2.25,2000,3672,2.0,0,1,5,1650,350,1.0,94
1294,6.0,3.0,2890,2370,2.5,0,1,3,2290,600,1.0,6
189,4.0,2.5,3020,8302,2.0,0,1,4,3020,0,1.0,26
920,4.0,3.0,3040,36246,1.5,0,1,3,2680,360,0.9981,6
811,3.0,1.0,1030,4958,1.0,0,1,5,1030,0,1.0,22
1708,3.0,2.5,1810,4592,2.0,0,1,3,1810,0,0.9981,28
4303,2.0,1.5,1580,3680,1.0,0,3,3,1280,300,1.0,26
1610,4.0,2.5,3340,10422,2.0,0,1,3,3340,0,0.9981,24
910,4.0,2.5,2670,11877,2.0,0,1,3,2670,0,0.9981,24
2360,4.0,3.5,3860,18334,2.0,0,1,3,3120,740,0.9987,24
4189,7.0,4.5,6210,8856,2.5,0,3,5,4760,1450,1.0,110
818,3.0,2.75,1900,6400,1.0,0,1,5,1410,490,1.0,78
341,4.0,1.0,1660,34848,1.0,0,1,1,930,730,0.9974,87
4428,2.0,1.75,1650,4000,1.0,0,1,4,950,700,1.0,32
4588,3.0,2.0,1200,9566,1.0,0,1,3,1200,0,1.0006,25
2498,4.0,2.5,2600,17388,2.0,0,1,3,2600,0,1.0,24
4474,3.0,1.75,2240,78225,2.0,0,1,5,2240,0,0.9981,44
444,3.0,2.0,2700,6120,1.0,0,1,4,1350,1350,1.0,58
1039,3.0,1.5,1430,8000,1.0,0,1,4,1430,0,0.9974,64
2492,3.0,1.0,1010,9514,1.0,0,1,3,1010,0,1.0,10
3004,3.0,1.5,1500,10018,1.0,0,1,4,1500,0,1.0,19
1807,3.0,1.75,2610,5544,1.5,0,1,3,1680,930,1.0,42
2735,4.0,3.5,2960,6000,2.0,0,1,3,2960,0,0.9981,6
2424,3.0,1.75,2220,132858,1.0,0,1,3,1110,1110,0.9987,20
1143,3.0,1.75,1310,9645,1.0,0,1,3,1310,0,1.0006,6
3869,3.0,1.0,1130,12519,1.0,0,1,3,1130,0,1.0006,16
3105,3.0,2.5,1570,1433,3.0,0,1,3,1570,0,1.0,10
3317,5.0,2.5,2700,16570,1.0,0,1,4,1750,950,0.9981,53
4200,2.0,1.5,1030,4500,1.0,0,1,3,830,200,1.0,9
1230,5.0,3.5,4210,17258,2.0,0,4,3,4210,0,0.9981,25
57,4.0,2.5,2140,7245,2.0,0,1,3,2140,0,1.0,17
4317,2.0,1.0,970,5750,1.0,0,1,4,970,0,1.0,62
2716,4.0,2.75,3120,7644,2.0,0,1,3,3120,0,0.9981,10
3409,2.0,1.0,1020,8155,1.0,0,1,4,1020,0,0.9994,72
1836,2.0,1.0,860,5040,1.0,0,1,3,860,0,1.0,19
2197,4.0,2.25,2450,21000,1.0,0,3,4,1650,800,1.0006,41
3374,6.0,3.0,4250,4400,2.5,0,1,4,3020,1230,1.0,118
1825,3.0,2.5,1060,1536,2.0,0,1,3,1060,0,1.0,20
3157,4.0,2.5,2030,3905,1.5,0,1,4,1630,400,1.0,27
1762,4.0,2.25,2410,4560,2.0,0,3,5,1800,610,1.0,91
2010,4.0,2.75,4230,31747,2.0,0,1,4,4230,0,0.9981,35
3435,4.0,1.0,1120,7104,1.5,0,1,3,1120,0,0.9994,74
2240,4.0,4.0,2290,6250,1.5,0,1,5,1690,600,1.0,80
365,3.0,2.5,2040,4627,2.0,0,1,3,2040,0,0.9974,28
2918,4.0,2.5,2150,27540,2.0,0,1,3,2150,0,0.9987,23
3695,3.0,2.0,1300,11374,1.5,0,1,5,1300,0,1.0026,87
1849,4.0,1.75,1560,8700,1.0,0,1,4,1560,0,0.9987,53
2611,4.0,2.5,2620,9873,2.0,0,1,3,2620,0,0.9981,20
4370,2.0,1.0,580,7500,1.0,0,1,3,580,0,1.0019,18
892,4.0,2.25,2170,7737,2.0,0,1,3,2170,0,0.9981,20
4077,4.0,4.0,3570,8250,2.0,0,1,3,2860,710,0.9994,97
3179,3.0,3.25,1540,1428,3.0,0,1,3,1540,0,1.0,97
930,4.0,4.0,3680,18804,2.0,0,1,3,3680,0,0.9981,11
3086,3.0,2.0,1420,4080,1.5,0,1,3,1420,0,1.0,7
1011,5.0,1.75,1250,10530,1.0,0,1,4,1250,0,0.9974,54
944,4.0,2.0,1730,5500,1.0,0,1,5,1010,720,1.0,77
2245,2.0,1.0,940,4800,1.0,0,1,4,940,0,1.0,65
1987,3.0,1.0,1030,9834,1.0,0,1,3,1030,0,0.9981,10
2969,3.0,3.5,3380,108900,2.0,0,1,3,2700,680,1.0,21
3844,2.0,1.0,690,5280,1.0,0,1,4,690,0,1.0006,38
3018,2.0,1.5,960,1808,2.0,0,1,3,960,0,1.0,27
1541,3.0,1.0,1330,77972,1.0,0,1,3,1330,0,0.9981,66
3191,3.0,1.75,1800,6000,1.0,0,1,5,900,900,1.0,115
1066,4.0,2.5,3250,235063,1.0,0,3,3,3250,0,1.0006,7
2605,4.0,2.75,2620,6707,2.0,0,1,3,2620,0,0.9981,20
4170,3.0,2.25,1920,9680,1.0,0,1,4,1300,620,1.0006,19
4580,3.0,2.0,2660,192099,1.0,0,1,4,2660,0,0.9994,56
425,3.0,2.5,2480,5137,2.0,0,1,3,2480,0,0.9974,20
2836,2.0,2.0,1680,4950,1.0,0,1,3,1680,0,0.9987,14
1727,4.0,2.0,1650,5000,1.0,0,1,3,1650,0,1.0,15
1699,3.0,2.25,1470,4322,2.0,0,1,3,1470,0,0.9981,35
4299,3.0,1.75,1270,4800,1.0,0,1,3,1270,0,1.0,6
3537,3.0,2.0,1350,14200,1.0,0,1,3,1350,0,0.9987,31
1724,5.0,2.0,2020,5000,1.5,0,1,4,2020,0,1.0,82
655,3.0,2.5,2680,5539,2.0,0,1,3,2680,0,0.9987,97
4581,2.0,2.5,2200,188200,1.0,0,4,3,2200,0,0.9994,13
802,4.0,2.5,3200,7535,2.0,0,1,3,3200,0,1.0,14
1164,3.0,1.5,1010,9600,1.0,0,1,4,1010,0,1.0006,58
24,2.0,1.0,830,6017,1.0,0,1,4,830,0,1.0,41
4431,5.0,1.75,2460,6846,1.5,0,1,5,1340,1120,1.0,36
2929,4.0,2.5,3360,7685,2.0,0,1,3,3360,0,1.0,19
3658,5.0,1.75,2020,7902,1.0,0,1,3,1220,800,1.0026,17
1070,4.0,2.5,2070,7476,2.0,0,1,3,2070,0,1.0006,17
22,3.0,1.0,1660,6582,1.0,0,1,5,1000,660,1.0,74
634,3.0,3.5,2080,5100,2.0,0,1,3,2080,0,0.9994,17
2165,3.0,1.0,1110,8423,1.0,0,1,3,1110,0,1.0006,12
2355,4.0,2.5,2790,230868,2.0,0,1,3,2790,0,0.9987,31
3714,2.0,1.0,840,11600,1.0,0,1,3,840,0,1.0026,12
4210,3.0,1.5,2680,4775,2.0,0,3,5,1880,800,1.0,107
4314,2.0,1.0,940,5040,1.0,0,1,3,940,0,1.0,17
2423,3.0,2.25,1410,1290,2.0,0,1,3,1290,120,0.9987,17
3848,4.0,2.0,1330,5926,1.0,0,1,4,1330,0,1.0006,38
1004,3.0,1.5,1570,6700,1.0,0,1,4,1570,0,0.9974,64
3827,3.0,1.75,1420,7650,1.0,0,1,4,1100,320,1.0006,36
2940,4.0,2.25,1770,33132,1.0,0,1,4,1190,580,1.0,55
3054,6.0,1.75,1840,2774,1.0,0,1,3,1060,780,1.0,15
2312,3.0,2.0,1530,8700,1.0,0,1,4,1530,0,1.0006,50
1857,3.0,2.75,1540,6760,1.0,0,1,5,1210,330,0.9987,40
2367,4.0,3.5,4040,50479,2.0,0,1,3,4040,0,0.9987,20
1033,5.0,2.25,2140,7910,1.0,0,1,3,1070,1070,0.9974,17
4181,3.0,2.25,1910,3481,2.0,0,1,3,1910,0,1.0006,11
446,3.0,2.0,1530,5401,1.0,0,1,4,1530,0,1.0,83
976,5.0,3.0,1880,5000,1.0,0,1,3,1100,780,1.0,23
1025,5.0,2.5,3210,12000,1.0,0,1,4,1830,1380,0.9974,52
666,3.0,1.75,2420,12676,2.0,0,1,3,2420,0,0.9987,34
4041,4.0,3.25,4060,13000,2.0,0,4,3,4060,0,0.9994,20
1232,4.0,3.5,3280,6603,2.0,0,1,3,3280,0,0.9981,13
727,3.0,2.5,2190,4882,2.0,0,1,3,2190,0,1.0,21
653,3.0,2.5,2430,88426,1.0,0,1,4,1570,860,0.9987,35
4095,5.0,5.25,4830,18707,2.0,0,2,5,3930,900,0.9994,22
4124,3.0,1.75,2070,37904,1.0,0,1,4,1420,650,1.0006,47
267,5.0,3.0,2430,8000,1.0,0,1,4,1370,1060,0.9981,19
1266,3.0,2.0,1890,29185,1.0,0,1,3,1470,420,0.9981,7
1761,3.0,1.75,1400,4000,1.0,0,1,3,870,530,1.0,26
2952,4.0,2.0,1530,6375,2.0,0,1,3,1530,0,1.0,37
4166,4.0,2.5,2580,5476,2.0,0,1,3,2580,0,1.0006,15
3910,2.0,1.0,890,8100,1.0,0,1,3,890,0,1.0006,21
1311,3.0,3.5,4660,5500,2.0,0,5,5,3040,1620,1.0,32
1159,3.0,2.25,1990,6350,2.0,0,1,3,1990,0,1.0006,9
851,3.0,1.75,2170,26460,1.0,0,1,3,1450,720,0.9981,34
4011,2.0,1.0,1400,4500,1.0,0,1,3,900,500,1.0006,12
3309,4.0,2.25,1330,8400,1.5,0,1,3,1330,0,0.9981,17
308,2.0,2.5,1480,1369,3.0,0,1,3,1480,0,0.9974,11
1977,3.0,1.5,1730,40250,2.0,0,1,4,1730,0,0.9981,37
3192,4.0,2.0,1730,3884,1.0,0,1,5,1060,670,1.0,64
1945,3.0,2.0,1330,8100,1.0,0,1,4,1330,0,0.9987,51
3133,2.0,1.0,920,3780,1.0,0,1,3,920,0,1.0,14
860,5.0,2.25,2890,12478,2.0,0,1,3,2890,0,0.9981,16
1028,5.0,2.0,2700,10875,1.0,0,1,4,1540,1160,0.9974,58
2580,3.0,1.75,2910,35200,1.5,0,1,3,2910,0,0.9981,6
3747,3.0,2.0,1560,7352,1.0,0,1,3,1560,0,1.0006,28
3723,3.0,1.75,1690,7735,1.0,0,1,4,1060,630,1.0006,28
2061,3.0,1.0,1290,6566,1.0,0,1,5,1290,0,1.0013,44
3465,4.0,2.75,3300,12090,2.0,0,1,3,3300,0,0.9981,67
4499,3.0,2.5,2890,21780,2.0,0,1,3,2890,0,1.0013,20
3151,3.0,2.5,1780,1487,3.0,0,1,3,1600,180,1.0,14
827,3.0,2.25,1270,1406,2.0,0,1,3,1060,210,1.0,6
3331,5.0,2.5,2420,8560,1.0,0,3,3,1620,800,1.0,42
3009,3.0,2.0,2120,7560,1.0,0,1,3,2120,0,1.0,29
3302,3.0,1.75,1690,8190,1.0,0,1,4,1690,0,0.9981,48
824,6.0,1.75,2380,4080,2.0,0,1,3,2380,0,1.0,11
3978,4.0,3.0,2440,9664,2.0,0,1,3,1890,550,0.9994,7
2257,3.0,1.0,980,7200,1.0,0,1,4,980,0,1.0,37
4563,3.0,2.0,1680,8424,1.0,0,1,3,1680,0,0.9994,27
3361,3.0,1.75,1890,7004,1.0,0,1,3,1290,600,1.0,27
